net,length_um
_1686_,741.2
clknet_0_CLK,712.4
_3974_,691.66
_4255_,682.075
_1697_,675.11
_3471_,650.63
_3155_,638.45
_3135_,634.84
_1071_,630.47
_1190_,625.85
_3023_,624.41
_3989_,619.15
_1699_,616.84
_1712_,605.77
_3963_,602.07
_3007_,595.56
_4000_,591.99
_1713_,590.49
_3808_,583.59
_1729_,579.62
_3649_,579.185
_3044_,578.74
_3166_,574.17
_3830_,572.01
_1739_,567.52
_1717_,563.06
_4144_,560.67
_3638_,558.01
_3855_,557.18
_3819_,554.96
_3952_,553.2
_4155_,551.75
_3114_,547.58
_3700_,547.18
_3772_,545.73
_3736_,543.615
_1726_,541.785
_4216_,541.1
_3627_,540.32
_1187_,539.38
_3591_,535.2
_4025_,530.44
_1025_,526.59
_3278_,525.9
_3916_,524.53
_4133_,524.15
_1735_,523.61
_4061_,521.97
_3927_,520.87
_3177_,518.565
_1711_,518.2
_1078_,514.94
_3664_,514.87
_1693_,513.32
_3242_,510.47
_3866_,509.22
_1901_,509.03
_3711_,508.78
_1213_,508.39
_1734_,507.27
_2113_,506.65
_3747_,504.93
_3602_,504.3
clknet_3_3__leaf_CLK,502.1
_4119_,502.01
_3891_,501.38
_1194_,498.74
_4180_,497.48
_1828_,497.245
_1214_,496.745
_4011_,495.79
_3902_,494.76
_1171_,491.45
_3065_,491.24
_4036_,491.22
_3314_,490.81
_1696_,490.58
_3880_,490.4
_3449_,490.2
_4108_,489.59
_3686_,488.83
_3325_,487.985
_3460_,486.985
_3194_,486.19
_1036_,486.12
_1192_,484.82
clknet_3_0__leaf_CLK,483.18
_3938_,482.68
_3675_,481.13
_1254_,481.045
_3492_,479.465
_1325_,477.93
_3398_,477.62
_3758_,476.52
_3093_,475.29
_2114_,474.71
_3253_,474.13
_3613_,472.675
_3722_,471.93
_4097_,468.7
_3575_,467.33
_1671_,465.63
_3205_,465.56
_1291_,462.54
_1203_,461.71
_1324_,459.78
_1037_,459.75
clknet_3_5__leaf_CLK,459.52
_1689_,454.48
_1201_,454.29
_3289_,451.91
clknet_3_4__leaf_CLK,451.45
_1211_,448.36
_4191_,448.02
