net,length_um
_4047_,444.52
net4,443.4
_1205_,443.23
_1685_,442.92
_3783_,441.2
_3844_,440.77
_3362_,438.13
_1259_,436.545
_4227_,433.12
_1700_,432.82
_3376_,430.34
_3303_,430.26
_1822_,427.44
_1716_,424.51
_1195_,423.88
_4205_,422.455
_1057_,420.96
_1766_,420.31
_4244_,420.22
_3434_,419.9
_1745_,416.88
_3231_,415.05
_3267_,414.78
_4169_,414.34
clknet_3_2__leaf_CLK,411.66
_1189_,409.62
_1038_,409.525
_3423_,408.66
_1199_,408.1
_1672_,405.51
_1050_,404.945
_1720_,401.73
_3412_,401.64
_1088_,401.035
_1723_,397.375
_1029_,396.37
_1170_,395.18
_4083_,393.44
_2044_,392.36
_1221_,391.15
_4072_,391.07
_1287_,389.82
_1675_,388.92
_3340_,388.83
_2175_,387.57
_1198_,385.4
_3513_,384.05
_1239_,384
_1777_,383.785
_3794_,383.32
_1222_,381.855
_3534_,380.3
net8,379.24
_3387_,378.94
_1026_,378.02
_1681_,377.78
_3216_,376.87
clknet_3_1__leaf_CLK,376.71
_3553_,374.14
_1090_,373.88
_1705_,372.94
_1680_,372.52
_1262_,369.94
_1823_,368.8
_3351_,364.21
_2140_,363.72
net3,363.11
_1684_,362.94
_1738_,361.92
_1719_,361.56
_1703_,357.34
_3564_,356.96
_1722_,356.23
_1215_,355.65
_1708_,354.14
_1279_,353.82
_1655_,352.76
CLK,352.33
_1670_,352.02
_1838_,350.28
_1107_,350.1
_1676_,349.66
clknet_3_7__leaf_CLK,349.62
_1044_,348.805
_1263_,347.79
_1773_,347.65
_1035_,347.04
_1191_,346.66
_1858_,343.59
_1883_,342.85
_1706_,337.64
_1267_,335.12
_2118_,334.7
_1175_,334.62
_2160_,333.84
_1268_,333.6
_1047_,333.16
_1073_,333
_1733_,332.84
_1053_,331.52
_1066_,327.8
_1173_,327.52
_1692_,326.25
_1040_,325.78
_1721_,325.26
_1691_,325.08
_2193_,324.06
_1718_,323.39
_1702_,322.78
_1728_,321.52
_1048_,321.49
_1174_,321.26
_1184_,320.49
_1874_,320.18
_1782_,319.22
_1820_,317.54
_1182_,317.17
_1178_,315.65
_1104_,315.2
_1679_,315.15
_2117_,314.59
_1896_,309.13
_1089_,308.48
_1898_,307.06
_1172_,306.75
_1678_,305.53
_1881_,302.635
_1674_,301.59
_1889_,301.33
net5,301.09
_1707_,300.83
_1895_,300.53
_1351_,299.33
_1352_,297.65
_1072_,296.18
_1105_,293.86
_1061_,291.47
_1754_,290.84
_1638_,286.83
_1884_,286.81
_1042_,286.16
_1704_,285.46
_1919_,285.29
_1897_,285.215
_1673_,284.23
_2210_,281.855
_1181_,280.35
_1996_,275.66
_1601_,271.58
_1731_,268.8
_1882_,267.23
_1779_,262.52
_1183_,261.52
_1028_,260.86
_1690_,260.8
_1494_,260.35
_1701_,256.8
_1918_,256.09
_1149_,255.99
_1027_,255.42
net99,254.29
clknet_3_6__leaf_CLK,253.24
_3013_,253.01
A2[0],251.89
_2053_,250.18
_1767_,245.7
_1464_,243.22
_1220_,242.33
_2178_,241.91
_2305_,238.92
_1768_,238.66
_1043_,238.08
_1587_,237.19
net1150,237.12
_1207_,236.79
net95,236.72
_1065_,235.67
_2051_,235.33
_2123_,233.44
_1641_,233.15
_1041_,231.06
_1052_,230.6
_3484_,224.1
_1677_,222.96
_1667_,221.69
_3590_,220.68
_1572_,220.385
_1642_,220.07
_1208_,219.32
net87,213.94
_1480_,213.49
_3302_,212.59
_2050_,211.86
_1298_,211.16
_1904_,210.84
_1193_,208.37
_4096_,207.92
_2323_,207.14
_2363_,206.9
_1290_,206.78
_1202_,205.88
_1634_,204.79
_3735_,204.7
_3145_,203.5
net13,202.48
_1168_,201.63
net12,200.415
_1640_,200.13
_3139_,199.09
_2039_,199.01
_2052_,196.94
_1923_,196
_1669_,195.845
_3663_,194.815
_1958_,194.42
_1219_,192.82
_3915_,191.94
_3137_,191.59
_1842_,190.37
_3230_,190.18
_1334_,188.84
_1645_,188.54
_1167_,187.97
_1618_,186.74
net97,186.31
_3498_,185.96
net11,185.64
_1639_,185.52
_3083_,185.34
net98,183.86
_1145_,183.11
_3009_,183.02
_1799_,182.78
_1558_,181.56
_4024_,181.38
_3126_,181.18
_1083_,178.02
_1148_,177.9
_1668_,177.56
net39,176.59
net86,176.56
_3039_,175.48
_4168_,175.06
_3510_,173.48
net48,171.65
_3699_,171.37
net28,170.54
_3022_,168.88
_3807_,168.68
net10,168.3
net9,167
_1169_,166.76
_1277_,166.22
_2105_,166.04
_1146_,165.2
_2421_,164.74
_3116_,164.66
_2426_,163.97
_1361_,163.86
_3552_,162.8
_3002_,162.66
_3124_,162.03
_3143_,161.58
_2503_,161.42
_3506_,161.21
_1125_,160.92
_1800_,160.84
_1360_,160.475
_3448_,160.3
_1839_,160.1
_3141_,159.96
_3988_,159.44
_3006_,159.38
net40,159.08
_1200_,158.42
_2373_,158.23
_2102_,157.73
_3540_,157.565
_1877_,156.9
_1798_,155.86
_1147_,155.67
_3017_,153.89
_3626_,153.66
_3067_,152.68
_1446_,152.03
_1942_,151.77
_3491_,151.28
_3092_,151.26
_3107_,150.8
_2337_,149.87
_3480_,149.24
_3099_,148.95
_3536_,148.81
net1147,148.34
_3095_,148.16
_3508_,147.42
_3496_,147.29
_2347_,146.74
_2271_,146.08
clknet_leaf_81_CLK,145.76
_2062_,145.48
_3504_,144.74
_3500_,144.68
_3111_,144.43
_3515_,144.21
_1237_,144.16
_3134_,143.96
_3494_,143.48
_3339_,143.14
_3482_,142.1
_3128_,141.86
_1126_,141.62
_3502_,140.66
_1430_,140.28
_2595_,139.82
_2327_,139.36
_2333_,139.18
_1111_,138.88
net91,138.8
_3101_,138.65
clknet_leaf_97_CLK,138.26
net22,137.9
_3103_,137.465
_3105_,137.34
_3519_,136.98
_3027_,136.24
_2033_,136.06
_2411_,135.96
_3073_,135.86
_3037_,135.64
_3490_,135.14
_3512_,134.84
_3015_,134.78
_1059_,134.49
_3154_,134.46
_3011_,134
_3951_,133.76
_3771_,132.3
_3122_,131.76
_3109_,131.24
net47,130.9
_1348_,130.74
_3025_,130.48
_3517_,130.195
_3525_,130.15
_3069_,129.96
_2097_,129.7
_1758_,129.42
_1098_,129.34
_1660_,129.2
_2080_,129.04
_1144_,128.28
_3120_,128.08
_2501_,128.01
_3097_,127.66
_3266_,127.32
clknet_leaf_11_CLK,127.295
_4132_,127.1
_3544_,127
_1024_,126.64
_3521_,126.39
_3193_,125.75
_3130_,125.56
_2286_,124.82
_1803_,124.41
_3048_,124.38
_3029_,123.5
_3056_,123.28
_3077_,123
_2591_,122.755
_3542_,122.72
_3488_,122.5
net25,121.94
_3058_,121.45
_4204_,121.44
_3046_,120.46
clknet_leaf_23_CLK,120.26
_3132_,119.64
_4060_,118.45
_1060_,118.25
_3529_,118.12
clknet_leaf_38_CLK,117.4
net45,117.11
_2104_,116.935
net44,116.7
_1127_,116.44
_1086_,116.41
net56,116.1
clknet_leaf_5_CLK,115.06
_2408_,114.58
_3538_,114.46
clknet_leaf_3_CLK,114.455
_3478_,114.28
_1511_,113.84
_2254_,113.82
_1087_,113.615
clknet_leaf_88_CLK,113.08
_3019_,112.98
_3486_,112.86
_3879_,111.98
_3081_,111.94
_2246_,111.5
_3113_,111.3
_2530_,111.29
clknet_leaf_84_CLK,111.28
net14,111.18
clknet_leaf_65_CLK,111
_3523_,110.66
_1188_,110.14
_3118_,109.72
_3043_,109.54
_3531_,109.28
clknet_leaf_1_CLK,107.7
clknet_leaf_42_CLK,107.48
_3375_,107.3
_2015_,107.14
_2621_,107.06
_2229_,106.76
_2536_,106.76
clknet_leaf_62_CLK,106.72
_3079_,106.7
clknet_leaf_0_CLK,106.48
_2504_,106.425
_3050_,105.76
clknet_leaf_29_CLK,105.58
_1978_,104.74
_1217_,104.58
clknet_leaf_4_CLK,104.38
_1666_,104.28
_3075_,104.24
clknet_leaf_92_CLK,104.055
_3041_,103.84
net55,103
_1879_,102.59
_3054_,102.12
net35,102.02
_3533_,101.74
_2252_,101.36
clknet_leaf_27_CLK,101.28
A2[1],101.22
_3033_,100.59
clknet_leaf_18_CLK,100.32
clknet_leaf_86_CLK,100.07
_1528_,99.38
_1166_,98.79
net37,98.22
clknet_leaf_107_CLK,98.18
_3052_,97.28
_1093_,97.08
net63,96.86
net15,96.84
_3089_,96.46
_3035_,96.3
_2741_,96.23
clknet_leaf_104_CLK,96.2
clknet_leaf_98_CLK,96.18
_1399_,95.93
net32,95.84
net50,95.8
clknet_leaf_90_CLK,95.44
net17,95.3
net60,95.02
clknet_leaf_35_CLK,94.22
net41,93.9
_3085_,93.44
_3087_,93.08
clknet_leaf_26_CLK,92.6
_3192_,92.52
net57,91.96
_3062_,91.6
_1110_,91.46
net53,91.4
clknet_leaf_101_CLK,91.32
clknet_leaf_17_CLK,90.6
net51,90.28
clknet_leaf_9_CLK,90.2
_2496_,90.195
clknet_leaf_37_CLK,89.76
_3411_,89.64
clknet_leaf_14_CLK,89.54
clknet_leaf_6_CLK,89.28
_2049_,89.26
clknet_leaf_48_CLK,89.1
net79,89.06
_3843_,89.04
_3064_,88.96
net54,88.74
clknet_leaf_16_CLK,88.64
net80,88.62
net61,88.42
_2737_,88.12
net34,87.98
_1416_,87.06
clknet_leaf_52_CLK,86.6
net20,86.56
clknet_leaf_106_CLK,86.265
clknet_leaf_75_CLK,85.9
clknet_leaf_39_CLK,85.54
net30,85.28
_2609_,85.26
_2462_,85.24
clknet_leaf_103_CLK,85.08
clknet_leaf_99_CLK,85.055
net58,84.94
clknet_leaf_77_CLK,84.72
_1849_,84.68
_2647_,84.68
net18,84.56
clknet_leaf_45_CLK,84.56
clknet_leaf_105_CLK,84.36
clknet_leaf_41_CLK,84.04
_3527_,83.54
net46,83.46
clknet_leaf_63_CLK,83.36
_2255_,82.56
net27,82.48
clknet_leaf_7_CLK,82.28
clknet_leaf_85_CLK,82.2
_1437_,82.02
_1933_,81.98
_3071_,81.94
_2701_,81.7
net52,81.3
clknet_leaf_51_CLK,80.76
net96,80.72
net64,80.5
_3031_,80.38
net77,80.12
net36,79.94
_1765_,79.76
clknet_leaf_93_CLK,79.5
clknet_leaf_95_CLK,79.48
clknet_leaf_36_CLK,79.12
clknet_leaf_33_CLK,78.02
_2442_,77.9
clknet_leaf_50_CLK,77.9
net84,77.76
_2251_,77.62
clknet_leaf_34_CLK,77.4
_1962_,77.24
clknet_leaf_80_CLK,77.06
clknet_leaf_66_CLK,76.58
clknet_leaf_31_CLK,76.075
_2335_,75.68
_2253_,75.67
clknet_leaf_71_CLK,75.66
net65,75.62
_2427_,75.54
clknet_leaf_83_CLK,75.48
clknet_leaf_79_CLK,75.42
clknet_leaf_19_CLK,75.175
net1141,75.04
clknet_leaf_110_CLK,74.74
_3060_,74.4
clknet_leaf_12_CLK,74.04
clknet_leaf_43_CLK,73.92
clknet_leaf_102_CLK,73.58
_2220_,73.54
net6,73.48
clknet_leaf_46_CLK,73.38
clknet_leaf_68_CLK,73.3
_1865_,72.82
net69,72.6
_1034_,72.51
net16,72.44
clknet_leaf_15_CLK,72.38
net19,72.2
clknet_leaf_2_CLK,72.14
clknet_leaf_49_CLK,71.8
clknet_leaf_59_CLK,71.72
net67,71.42
_1471_,71
net78,70.82
_2040_,70.79
_2506_,70.66
net49,70.66
net75,70.6
clknet_leaf_25_CLK,70.48
clknet_leaf_28_CLK,70.2
_2626_,70.17
_2946_,70.04
_2754_,69.86
net26,69.72
_2458_,69.5
_2547_,69.08
net73,68.8
_2622_,68.4
net66,68.12
net43,67.8
_2336_,67.46
net21,67.4
clknet_leaf_73_CLK,67.4
net59,67.12
_1512_,67.08
clknet_leaf_8_CLK,66.94
net42,66.46
clknet_leaf_40_CLK,65.88
clknet_leaf_100_CLK,65.84
net38,65.72
_2859_,65.61
clknet_leaf_24_CLK,65.6
_2390_,65.24
net74,64.92
_1578_,64.9
net31,64.46
clknet_leaf_64_CLK,64.12
_1592_,64.06
_2593_,64.055
net76,64
clknet_leaf_21_CLK,64
_2525_,63.91
clknet_leaf_69_CLK,63.84
clknet_leaf_94_CLK,63.83
_1228_,63.82
_1266_,63.78
clknet_leaf_78_CLK,63.64
_2658_,63.6
net70,63.48
_2974_,63.3
_2576_,62.7
_2088_,62.58
clknet_leaf_32_CLK,62.56
net72,62.34
net101,62.06
_2779_,61.99
clknet_leaf_22_CLK,61.72
net71,61.6
_1852_,61.54
_2705_,61.445
clknet_leaf_70_CLK,61.38
clknet_leaf_61_CLK,61.36
net33,61.06
clknet_leaf_56_CLK,60.9
clknet_leaf_44_CLK,60.88
_1542_,60.6
clknet_leaf_10_CLK,60.44
_1880_,60.22
_2573_,60.05
_1070_,59.9
_1415_,59.66
_2531_,59.61
_2041_,59.52
_2038_,59.45
clknet_leaf_67_CLK,59.16
clknet_leaf_96_CLK,58.49
net62,57.64
_2131_,57.08
clknet_leaf_55_CLK,57.01
clknet_leaf_91_CLK,56.74
clknet_leaf_72_CLK,56.66
_1039_,56.14
clknet_leaf_76_CLK,55.76
net24,55.64
_2586_,55.3
_1286_,55.28
_2444_,55.17
_1370_,54.9
_1485_,54.78
_2792_,54.77
_1455_,54.76
_2397_,54.67
_3338_,54.56
_2549_,54.52
_2731_,54.5
net29,54.12
_2565_,54.1
_2948_,54.06
_2441_,54.02
_2849_,53.52
clknet_leaf_20_CLK,53.26
_1581_,53.22
clknet_leaf_82_CLK,52.98
_2491_,52.86
_2071_,52.28
_2778_,51.91
_1872_,51.74
clknet_leaf_74_CLK,51.5
_2695_,51.4
_2227_,51.36
net68,51.28
_3005_,51.14
_1255_,51.08
clknet_leaf_89_CLK,51.08
_2736_,51.02
regfile.registers\[11\]\[22\],50.92
_2439_,50.78
_2801_,50.62
_2151_,50.4
regfile.registers\[3\]\[21\],50.37
_2006_,50.28
_2184_,50.08
_1616_,49.42
_2487_,49.4
_3153_,49.14
regfile.registers\[18\]\[31\],49.06
_2488_,48.98
_3190_,48.64
_2649_,48.06
_1135_,47.86
_2797_,47.12
clknet_leaf_60_CLK,47.06
_2822_,46.99
_2524_,46.58
_2445_,46.5
_1359_,46.24
_2895_,46.06
_2802_,45.84
_2272_,45.52
clknet_leaf_108_CLK,45.52
_1152_,45.46
_2613_,45.32
regfile.registers\[25\]\[17\],45.26
_2729_,45.14
_1256_,44.895
_2871_,44.8
_1421_,44.64
_2677_,44.34
_1156_,44.02
_1085_,44
_3091_,43.89
_1609_,43.8
_1492_,43.7
_2753_,43.7
regfile.registers\[29\]\[11\],43.68
_2550_,43.64
_1332_,43.34
regfile.registers\[21\]\[30\],42.94
_1959_,42.78
regfile.registers\[16\]\[31\],42.72
_2834_,42.64
_2472_,42.505
_2201_,42.42
_1522_,42.26
_1549_,42.2
_2166_,42.08
_1309_,41.96
_3588_,41.84
_2437_,41.67
net2,41.64
_1346_,41.48
clknet_leaf_30_CLK,41.48
_2356_,41.46
net100,41.32
regfile.registers\[0\]\[31\],41.14
_1869_,41.08
clknet_leaf_13_CLK,40.8
regfile.registers\[28\]\[11\],40.78
regfile.registers\[5\]\[31\],40.76
_3447_,40.52
_2016_,40.3
_1948_,40.2
_3229_,39.94
_2409_,39.82
regfile.registers\[10\]\[22\],39.51
_1987_,39.38
_2740_,39.38
_2553_,39.26
regfile.registers\[24\]\[11\],39.16
regfile.registers\[4\]\[5\],39
_1102_,38.88
regfile.registers\[16\]\[15\],38.88
_2031_,38.86
net1,38.615
_2420_,38.48
_1997_,38.36
_1505_,38.32
_2799_,38.26
_1625_,37.98
_1447_,37.94
_1440_,37.78
net7,37.52
_2134_,37.48
_2897_,37.46
_1757_,37.4
_2296_,37.32
_2588_,37.2
_1932_,37.12
_2885_,37.12
regfile.registers\[8\]\[0\],36.94
_2124_,36.92
_2486_,36.86
regfile.registers\[9\]\[31\],36.78
_1946_,36.64
clknet_leaf_47_CLK,36.6
_1943_,36.56
_2372_,36.55
_2869_,36.44
clknet_leaf_87_CLK,36.26
regfile.registers\[20\]\[31\],36.1
_2814_,36.04
_2558_,36.02
_2979_,35.98
clknet_leaf_53_CLK,35.98
regfile.registers\[25\]\[0\],35.9
_1744_,35.76
_1406_,35.74
_1306_,35.68
_2680_,35.52
_2703_,35.47
_2354_,35.3
_2620_,35.28
regfile.registers\[6\]\[28\],35.18
_1797_,35.14
_2581_,35.08
regfile.registers\[0\]\[30\],35.06
_2493_,35.04
regfile.registers\[13\]\[10\],35.02
regfile.registers\[17\]\[30\],35
regfile.registers\[4\]\[17\],34.87
regfile.registers\[22\]\[10\],34.855
_2037_,34.84
_2466_,34.82
_2477_,34.8
_3662_,34.78
regfile.registers\[20\]\[18\],34.76
_2313_,34.72
clknet_leaf_109_CLK,34.68
_2600_,34.64
_1650_,34.62
_2823_,34.565
regfile.registers\[14\]\[27\],34.455
_1315_,34.42
regfile.registers\[20\]\[30\],34.36
_2468_,34.32
net1149,34.26
_2652_,34.16
_1606_,34.1
_2570_,34.02
_2858_,33.98
_2219_,33.94
_1508_,33.9
regfile.registers\[22\]\[30\],33.705
regfile.registers\[26\]\[26\],33.655
regfile.registers\[28\]\[23\],33.64
regfile.registers\[0\]\[18\],33.54
regfile.registers\[20\]\[9\],33.42
regfile.registers\[22\]\[13\],33.32
regfile.registers\[30\]\[10\],33.065
regfile.registers\[5\]\[30\],32.98
regfile.registers\[22\]\[2\],32.97
regfile.registers\[2\]\[19\],32.94
_2661_,32.9
regfile.registers\[3\]\[8\],32.9
_1474_,32.88
regfile.registers\[16\]\[4\],32.84
regfile.registers\[24\]\[8\],32.78
_1595_,32.72
regfile.registers\[13\]\[0\],32.62
_2605_,32.615
regfile.registers\[4\]\[16\],32.6
regfile.registers\[17\]\[15\],32.58
regfile.registers\[4\]\[3\],32.5
_1384_,32.38
_1821_,32.38
_1973_,32.24
_2697_,32.22
_2340_,32.2
_2915_,32.18
_1698_,32.12
clknet_leaf_57_CLK,32
regfile.registers\[22\]\[8\],31.965
_2554_,31.96
regfile.registers\[11\]\[27\],31.95
_2150_,31.86
_1832_,31.78
net23,31.76
_2551_,31.7
regfile.registers\[4\]\[30\],31.68
_2675_,31.62
_2722_,31.58
_2314_,31.5
_1916_,31.48
regfile.registers\[1\]\[26\],31.42
regfile.registers\[24\]\[25\],31.42
_1375_,31.4
regfile.registers\[8\]\[27\],31.36
regfile.registers\[27\]\[30\],31.315
_2708_,31.3
_1886_,31.08
_2931_,31.04
_2879_,31.02
regfile.registers\[24\]\[7\],30.98
regfile.registers\[29\]\[28\],30.94
regfile.registers\[6\]\[20\],30.935
_2781_,30.76
regfile.registers\[26\]\[21\],30.63
regfile.registers\[30\]\[26\],30.565
regfile.registers\[26\]\[31\],30.535
_2669_,30.48
regfile.registers\[10\]\[18\],30.465
regfile.registers\[17\]\[5\],30.46
_2057_,30.42
_2285_,30.42
_2796_,30.37
regfile.registers\[16\]\[6\],30.36
_2748_,30.32
regfile.registers\[8\]\[18\],30.26
_2498_,30.24
regfile.registers\[31\]\[11\],30.24
_1804_,30.22
regfile.registers\[29\]\[26\],30.12
regfile.registers\[25\]\[9\],30.04
regfile.registers\[1\]\[8\],30.03
_2235_,29.96
regfile.registers\[23\]\[10\],29.88
_2812_,29.86
_2008_,29.84
regfile.registers\[2\]\[26\],29.825
_2075_,29.82
regfile.registers\[22\]\[26\],29.81
_2538_,29.8
regfile.registers\[15\]\[28\],29.74
regfile.registers\[12\]\[23\],29.7
regfile.registers\[28\]\[14\],29.7
regfile.registers\[31\]\[12\],29.7
_1235_,29.66
_1658_,29.58
_2578_,29.5
_2973_,29.4
regfile.registers\[0\]\[26\],29.38
regfile.registers\[25\]\[30\],29.38
regfile.registers\[3\]\[10\],29.32
regfile.registers\[13\]\[7\],29.3
regfile.registers\[0\]\[4\],29.28
_2364_,29.26
regfile.registers\[22\]\[14\],29.235
regfile.registers\[0\]\[8\],29.2
regfile.registers\[19\]\[10\],29.18
regfile.registers\[1\]\[3\],29.16
_1501_,29.06
_1969_,29.06
regfile.registers\[26\]\[22\],29.045
regfile.registers\[28\]\[18\],29.04
_2815_,28.98
regfile.registers\[25\]\[31\],28.89
_2603_,28.82
regfile.registers\[12\]\[11\],28.8
_2584_,28.78
regfile.registers\[12\]\[6\],28.76
_1856_,28.72
regfile.registers\[21\]\[3\],28.72
regfile.registers\[10\]\[12\],28.61
_1927_,28.6
regfile.registers\[9\]\[0\],28.48
_1892_,28.44
regfile.registers\[16\]\[16\],28.42
_1515_,28.38
_2628_,28.38
regfile.registers\[25\]\[25\],28.3
regfile.registers\[30\]\[30\],28.235
regfile.registers\[16\]\[1\],28.2
_1748_,28.18
regfile.registers\[3\]\[11\],28.18
_1602_,28.14
regfile.registers\[21\]\[28\],28.14
regfile.registers\[0\]\[1\],28.12
regfile.registers\[25\]\[11\],28.04
_2704_,28
_1337_,27.98
regfile.registers\[28\]\[5\],27.94
regfile.registers\[2\]\[6\],27.935
regfile.registers\[10\]\[13\],27.91
_2715_,27.9
regfile.registers\[29\]\[24\],27.89
regfile.registers\[28\]\[30\],27.86
_1905_,27.84
regfile.registers\[1\]\[13\],27.84
regfile.registers\[31\]\[10\],27.84
regfile.registers\[4\]\[28\],27.82
regfile.registers\[12\]\[30\],27.8
_1935_,27.78
_2287_,27.78
_2348_,27.76
_2490_,27.76
regfile.registers\[31\]\[25\],27.74
_2922_,27.7
regfile.registers\[19\]\[31\],27.7
regfile.registers\[26\]\[19\],27.61
_1526_,27.6
regfile.registers\[24\]\[17\],27.6
regfile.registers\[27\]\[21\],27.56
regfile.registers\[23\]\[5\],27.5
regfile.registers\[0\]\[13\],27.46
regfile.registers\[1\]\[18\],27.46
_1628_,27.44
regfile.registers\[17\]\[16\],27.38
_2400_,27.33
_1312_,27.3
regfile.registers\[0\]\[7\],27.3
_1442_,27.26
_2329_,27.21
_2463_,27.18
_1504_,27.1
regfile.registers\[19\]\[7\],27.1
_2138_,27.08
regfile.registers\[31\]\[20\],27.07
_1688_,27.04
regfile.registers\[26\]\[18\],27.035
regfile.registers\[25\]\[14\],26.94
regfile.registers\[30\]\[28\],26.91
regfile.registers\[21\]\[2\],26.9
regfile.registers\[21\]\[0\],26.88
regfile.registers\[30\]\[16\],26.83
regfile.registers\[20\]\[6\],26.78
regfile.registers\[27\]\[11\],26.78
regfile.registers\[3\]\[0\],26.78
_2963_,26.76
regfile.registers\[1\]\[31\],26.7
regfile.registers\[21\]\[31\],26.7
regfile.registers\[4\]\[26\],26.7
_2651_,26.68
_1811_,26.66
_2355_,26.66
_1979_,26.64
_2024_,26.64
regfile.registers\[26\]\[11\],26.58
regfile.registers\[29\]\[5\],26.58
regfile.registers\[4\]\[24\],26.58
_2443_,26.56
_2532_,26.54
_2237_,26.52
regfile.registers\[10\]\[15\],26.5
regfile.registers\[5\]\[29\],26.44
_2223_,26.42
_2995_,26.42
_2425_,26.34
regfile.registers\[16\]\[3\],26.34
_2912_,26.3
regfile.registers\[13\]\[30\],26.3
regfile.registers\[4\]\[10\],26.28
_3003_,26.275
regfile.registers\[12\]\[18\],26.24
_1888_,26.22
_1091_,26.1
regfile.registers\[5\]\[18\],26.08
_2250_,26.06
_2179_,26.02
regfile.registers\[0\]\[5\],26.02
regfile.registers\[12\]\[9\],26.02
regfile.registers\[8\]\[30\],26.02
regfile.registers\[1\]\[7\],26
regfile.registers\[10\]\[10\],25.975
_2720_,25.96
regfile.registers\[31\]\[26\],25.96
regfile.registers\[19\]\[3\],25.9
regfile.registers\[9\]\[9\],25.9
_2903_,25.88
_2262_,25.86
regfile.registers\[16\]\[11\],25.86
regfile.registers\[18\]\[4\],25.85
regfile.registers\[26\]\[24\],25.835
regfile.registers\[26\]\[6\],25.835
regfile.registers\[1\]\[30\],25.82
regfile.registers\[31\]\[21\],25.73
_2471_,25.72
regfile.registers\[12\]\[13\],25.7
regfile.registers\[17\]\[29\],25.7
regfile.registers\[8\]\[29\],25.7
_2404_,25.65
regfile.registers\[26\]\[4\],25.615
regfile.registers\[23\]\[9\],25.6
regfile.registers\[3\]\[17\],25.6
regfile.registers\[4\]\[0\],25.6
_2749_,25.56
regfile.registers\[16\]\[5\],25.56
regfile.registers\[0\]\[6\],25.54
regfile.registers\[31\]\[24\],25.54
regfile.registers\[11\]\[18\],25.52
regfile.registers\[25\]\[27\],25.52
_2165_,25.5
regfile.registers\[6\]\[1\],25.49
regfile.registers\[23\]\[4\],25.48
_1113_,25.46
_3090_,25.46
regfile.registers\[2\]\[13\],25.44
regfile.registers\[24\]\[13\],25.4
regfile.registers\[12\]\[24\],25.38
regfile.registers\[29\]\[7\],25.36
regfile.registers\[5\]\[3\],25.36
regfile.registers\[27\]\[12\],25.34
regfile.registers\[28\]\[24\],25.34
regfile.registers\[24\]\[6\],25.32
regfile.registers\[28\]\[3\],25.32
_2431_,25.3
_3964_,25.28
regfile.registers\[13\]\[9\],25.24
_2456_,25.18
_2862_,25.18
_2393_,25.14
_2026_,25.12
regfile.registers\[17\]\[20\],25.12
regfile.registers\[5\]\[23\],25.12
regfile.registers\[30\]\[22\],25.05
regfile.registers\[3\]\[9\],25.03
regfile.registers\[20\]\[15\],25
regfile.registers\[11\]\[9\],24.99
_2095_,24.96
regfile.registers\[1\]\[10\],24.94
_2424_,24.92
regfile.registers\[23\]\[11\],24.88
regfile.registers\[7\]\[11\],24.88
regfile.registers\[27\]\[4\],24.86
net918,24.82
_1116_,24.8
regfile.registers\[1\]\[6\],24.8
regfile.registers\[21\]\[4\],24.8
regfile.registers\[8\]\[1\],24.8
regfile.registers\[17\]\[14\],24.78
regfile.registers\[8\]\[20\],24.78
