net,length_um
clk,106.36
clknet_1_1__leaf_clk,102.915
clknet_1_0__leaf_clk,99.48
net1,74.18
net4,69.16
net3,67.78
net2,65.52
net5,55.47
_066_,48.66
display_module.counter\[8\],44.865
display_module.counter\[9\],35.22
_054_,35.04
net34,34.2
display_module.counter\[17\],32.52
_025_,31.56
_057_,31.42
display_module.counter\[16\],31.08
display_module.counter\[2\],27.92
display_module.counter\[10\],25.38
display_module.counter\[12\],24.8
_049_,24.495
display_module.pos\[0\],23.8
_044_,22.5
_045_,21.64
display_module.counter\[0\],21.24
display_module.counter\[14\],20.84
display_module.counter\[7\],20.72
display_module.counter\[11\],19.88
display_module.counter\[4\],18.66
_039_,18.5
clknet_0_clk,17.34
display_module.counter\[1\],17.14
display_module.counter\[19\],16.74
_069_,16.62
display_module.pos\[1\],16.04
display_module.counter\[13\],15.94
_052_,15.06
_024_,14.94
net30,14.18
net6,13.76
net24,13.62
display_module.counter\[5\],13.44
_041_,12.96
display_module.counter\[18\],12.54
_061_,12.34
an[1],11.7
_043_,11.54
net20,11.54
_062_,11.42
_034_,11.34
display_module.counter\[3\],11.28
display_module.counter\[15\],10.67
net11,10.56
_031_,10.36
display_module.counter\[6\],9.96
_033_,9.7
_048_,9.52
_053_,9.42
net8,9.4
an[0],8.96
_032_,8.9
net32,8.84
_023_,8.82
_063_,8.82
net7,8.72
net9,8.72
net15,8.66
an[2],8.5
an[3],8.5
_030_,8.28
_014_,8.185
net27,8.14
net12,8.04
_022_,7.88
net33,7.56
_013_,7.345
_055_,7.32
_059_,6.82
_068_,6.76
_064_,6.74
_011_,6.485
net18,6.18
_029_,6.06
net17,5.84
_001_,5.705
net26,5.68
_019_,5.645
_020_,5.62
_026_,5.58
_035_,5.38
_047_,5.28
_002_,5.26
_037_,5.26
net16,5.26
_040_,5.12
_010_,5.085
_046_,4.92
net10,4.61
_028_,4.36
_027_,4.34
_018_,4.165
_012_,4.065
net14,4
net19,4
_016_,3.78
_008_,3.605
_017_,3.56
_038_,3.56
_056_,3.54
net22,3.54
_005_,3.175
_006_,3
net21,2.96
_004_,2.885
_007_,2.785
net29,2.785
_009_,2.64
_058_,2.64
_067_,2.5
_000_,2.425
net31,2.325
net13,2.3
_003_,2.125
net23,2.085
net28,1.94
_050_,1.84
_065_,1.84
_051_,1.72
_015_,1.575
_060_,1.38
_042_,0.8
_021_,0.46
_036_,0.46
net25,0.46
