net,length_um
_082_,220.58
_076_,200.72
_153_,193.17
_154_,183.96
_155_,183.49
_075_,168.71
_108_,163.69
one_second_counter\[17\],163.16
_158_,162.67
one_second_counter\[19\],152.38
one_second_counter\[8\],151.67
one_second_counter\[24\],151.28
net1,145.85
one_second_counter\[12\],145.04
one_second_counter\[9\],143.58
_084_,141.56
_157_,139.47
_094_,138.49
one_second_counter\[1\],138.25
one_second_counter\[23\],133.7
_129_,133.66
_026_,132.52
reset,132.34
one_second_counter\[0\],130.46
one_second_counter\[14\],130.3
_102_,130.12
_089_,128.1
one_second_counter\[25\],127.48
_029_,121.36
one_second_counter\[7\],120.72
_087_,120.54
one_second_counter\[21\],119.605
_051_,115.84
one_second_counter\[11\],115.7
one_second_counter\[16\],114.86
one_second_counter\[26\],112.88
_010_,110.6
_160_,109.99
_162_,109.76
_144_,106.7
_114_,106.02
_130_,104.66
_120_,104.26
_156_,103.02
clknet_2_2__leaf_clk,102.46
_063_,100.76
_030_,99.95
_136_,99.35
one_second_counter\[10\],99.21
_060_,97.92
_097_,97.68
_159_,96.64
_062_,95.36
_145_,94.72
_040_,94.3
_081_,94.08
_115_,92.26
clknet_2_0__leaf_clk,91.55
_043_,91.39
_135_,91.39
net3,91.2
_068_,90.76
_025_,88.04
one_second_counter\[4\],86.2
one_second_counter\[15\],85.87
_077_,85.58
net2,85.44
_045_,84.62
_100_,84.36
_032_,83.54
one_second_counter\[5\],80.81
_000_,80.1
_015_,79.1
_041_,76.87
one_second_counter\[18\],76.3
_134_,76.08
_150_,74.12
_066_,74.1
_056_,73.92
one_second_counter\[13\],73.5
one_second_counter\[2\],73.26
_021_,72.95
_104_,72.37
_059_,72.3
_128_,71.19
_093_,70.88
_105_,70.48
_070_,68.8
_121_,67.82
clknet_0_clk,66.81
_099_,66.6
_117_,65.85
clknet_2_1__leaf_clk,65.54
_116_,65.42
_034_,65.16
_047_,65.03
_005_,63.92
_096_,63.76
_048_,63.66
_004_,63.22
_067_,63.14
_119_,62.96
one_second_counter\[20\],62.38
_039_,61.71
_148_,61
_028_,60.82
one_second_counter\[22\],60.82
_139_,60.74
_127_,60.59
clknet_2_3__leaf_clk,60.4
_112_,60.29
_073_,59.66
clk,59.29
_016_,57.24
_110_,56.8
_011_,55.28
_085_,55.14
_057_,54.62
_142_,54.22
_140_,54.14
_124_,52.36
_152_,52.02
_107_,51.14
_042_,50.37
_049_,49.21
_151_,47.36
_106_,47.34
_113_,46.02
_083_,45.2
_133_,45.19
_014_,45.12
one_second_counter\[3\],44.06
_069_,43.84
_012_,43.28
_126_,43.27
_143_,43.14
_138_,42.92
_033_,41.25
_009_,41.08
_091_,40.54
_095_,40.42
_149_,40.32
_023_,40.1
_006_,39.52
_061_,38.2
_086_,37.84
_002_,36.825
_046_,36.65
_071_,36.62
_027_,36.35
_024_,36
_109_,35.96
_064_,34.56
_101_,34.28
_161_,34.28
_147_,33.92
_053_,33.04
_092_,33.04
_035_,33
_090_,32.86
_137_,32.52
_013_,32.46
_131_,30.66
_007_,30.46
_163_,29.86
_118_,29.84
one_second_counter\[6\],29.36
_037_,28.99
_103_,28.18
_018_,27.68
_020_,27.56
_065_,27.3
_125_,27.02
_055_,26.42
_079_,25.64
_078_,25.42
_058_,25.4
_141_,24.49
_080_,24.3
_072_,23.74
_132_,22.68
_074_,21.82
_123_,20.32
_036_,20.07
_017_,19.66
_122_,18.52
_022_,17.98
_054_,16.93
_052_,16.34
_111_,15.64
_038_,15.03
_003_,14.92
_031_,13.92
_044_,13.7
_146_,11.04
_050_,11.01
_019_,6.94
_001_,5.56
count[0],5.29
count[1],5.29
count[2],5.29
_008_,3.56
_088_,3.18
_098_,1.94
