net,length_um
net1,75.54
net2,67.82
net15,56.94
net3,47.36
_00_,44.12
net16,41.28
net9,38.54
_06_,37.34
_04_,34.46
net8,34.38
_05_,33.7
net4,33.68
net6,31.02
_01_,29.02
_02_,27
net14,22.16
_03_,20.56
net5,19.16
net7,19.02
_07_,15.76
net11,14.96
net13,14.8
in[0],14.25
out[0],12.35
out[7],11.67
in[7],11.43
net12,9.4
net10,9.32
_08_,7.14
in[2],6.45
out[3],6.23
in[1],5.29
out[1],5.07
in[3],4.61
in[4],4.61
in[5],4.61
in[6],4.61
out[2],4.39
out[4],4.39
out[5],4.39
out[6],4.39
